mfcc_1_avg,zero_crossing_rate,root_mean_square_energy,mean,target
0.6547742246329692,0.030252260387824786,-0.14617504572080006,-0.46085532066950907,0
-1.1564227777993963,-0.574792947368671,-0.25729986529535737,0.27449552828763424,1
-0.5791109073330585,-0.574792947368671,-0.37150134151240305,0.17983581288119485,1
0.9284113038167215,0.030252260387824786,-0.367833976690693,-0.7753711897279227,1
0.8766304359064448,0.9378200720225686,-0.5846000170578136,-0.5251348626872234,1
0.5880763896995834,0.030252260387824786,-0.631040565694393,-0.09951678395002297,0
-1.7226749892330369,-0.574792947368671,-0.2290157316011623,0.29659653136329867,0
-1.5189664918574313,-0.574792947368671,-0.21581343960394622,0.3064584881104806,0
-0.8370649719250616,-0.574792947368671,-0.3054956108683013,0.23391136760009562,1
1.683644724620468,0.030252260387824786,1.8062494262519753,-1.6799703133240311,0
0.46337380884302753,0.9378200720225686,-0.31946205385190823,0.02991034541229758,1
0.04931128093868743,0.030252260387824786,-0.9152029228758953,-0.2964750208245616,1
0.7669811127447193,-0.574792947368671,-0.29028804917858814,0.20199472715872507,1
0.8316941795235767,-0.574792947368671,-0.23613053263999614,0.2368348534425072,1
0.8392623535274751,-0.574792947368671,-0.0754683248771284,0.3240206229022757,1
1.062802365554892,-0.574792947368671,0.185621695455525,0.5679937624510282,0
0.953897659428598,-0.574792947368671,0.8145232308540691,1.0262014658383785,0
1.1141991757516148,-0.574792947368671,0.308538477414348,0.6749079959131649,0
0.8124211746451225,-0.574792947368671,0.20774958608759514,0.5926455408135063,0
0.6807252844386319,0.030252260387824786,-0.6143408033969789,-0.03906445866438279,0
0.24772925641877366,-0.574792947368671,0.6783181516621928,-1.562392949299198,0
0.3964500133752845,-0.574792947368671,0.46624200089455864,-1.4524103322397743,0
0.19243547294648966,-0.574792947368671,0.4169137987946246,-1.3800448967489733,0
-0.15660456135740244,-0.574792947368671,-0.21452388191565758,-0.9230910259671147,0
-0.641381269300404,0.030252260387824786,-0.7815351120769971,-0.29538649440359366,1
-0.09067559379965798,0.6352974681443205,-0.7206195762500546,-0.16846568605614176,1
0.07944787426969349,-0.574792947368671,-0.2519644155778204,0.23334346420115354,1
0.3163552753795319,-0.574792947368671,0.3646401940684383,0.6865419683773224,0
-0.12737895367489468,0.9378200720225686,-0.4866927568747221,-0.050636232869133616,1
-1.0921514807840491,0.030252260387824786,-0.8206889305857666,-0.4481274060811073,0
-0.6749595310698554,0.6352974681443205,-0.9222124635324128,-0.23831058917582637,1
-1.3449137167255725,0.9378200720225686,-1.0266060143116358,-0.33415735389860585,0
-0.7780031743507347,-0.574792947368671,-0.9511925169585267,-0.4259579657600618,0
-1.1859017921377388,-0.574792947368671,-0.9535080744658202,-0.4316123551561327,0
-1.847851485652916,0.9378200720225686,-1.0195819387051557,-0.371164885741534,1
-2.541001638683842,-0.574792947368671,-1.0526451248833786,-0.35287859747595296,1
-0.7147263292711193,-0.574792947368671,-0.9922560211803356,-0.39967804557118214,0
-1.4419519230425792,-0.574792947368671,-0.9758116133761906,-0.4098025786052358,0
-1.338686078970011,-0.574792947368671,-0.9150018425042954,-0.4331913395210662,1
-2.541001638683842,0.9378200720225686,-1.0618764844204218,-0.3282727014066818,0
-0.07512266630422747,-0.574792947368671,1.8062494262519753,1.5053406228879056,0
0.2511139647557963,-0.574792947368671,1.8062494262519753,1.5053406228879056,0
0.4381000666790362,-0.574792947368671,1.8062494262519753,1.5053406228879056,1
0.6675932552472379,-0.574792947368671,1.378837373279,1.4411099838624617,1
0.35505111088176683,-0.574792947368671,1.474867655455603,1.5053406228879056,0
0.1626882009687729,-0.574792947368671,1.8062494262519753,1.5053406228879056,0
0.29557498966540735,-0.574792947368671,1.8062494262519753,1.5053406228879056,1
0.281500204999969,-0.574792947368671,1.8062494262519753,1.5053406228879056,1
0.2893605110091845,-0.574792947368671,1.8062494262519753,1.5053406228879056,0
0.1992391032788152,-0.574792947368671,1.7399838406513741,1.5053406228879056,0
-0.6055054287864321,0.030252260387824786,-0.7721329363593807,-0.3540862948159176,1
-0.34753519730095594,-0.574792947368671,0.01275455694282312,0.394440931771599,1
-0.2006728811453229,-0.574792947368671,0.3448576877026836,0.7124313891168135,0
-0.3851408954165541,-0.574792947368671,0.0584487936805358,0.5031220077416116,1
-0.23586595239075456,-0.574792947368671,-0.11547397609171635,0.3439022234740111,1
-0.20367052397465707,0.9378200720225686,-0.6165414241190974,-0.5466154758466221,0
-0.6131279310718857,0.9378200720225686,-0.7463596216811321,-0.48273081014849506,0
-0.5988833940249794,-0.574792947368671,-0.6264300405025415,-0.08099722227411398,1
-0.3200195205839331,-0.574792947368671,-0.2690135700766885,0.23339720809568903,1
0.10802793413607599,0.030252260387824786,0.2921826384010448,-0.9170350183145972,1
0.5717797851043883,0.6352974681443205,-0.666747094474896,-0.6069741564675413,1
1.7183762874533814,-0.574792947368671,-0.007131728640134171,-1.0591511673969034,0
0.6418023604792393,0.6352974681443205,-0.7832108143934092,-0.4937224185327342,0
0.6177151931013234,0.9378200720225686,-0.7698132039196511,-0.45235136723605496,0
1.6398437225362548,0.6352974681443205,-0.19036884592171766,-0.8992807562848503,1
1.5969356593357324,0.9378200720225686,-0.61205209404194,-0.5922318996359115,0
1.0982554230058277,0.030252260387824786,-0.49446513011791376,-0.7059717753543528,0
-0.8364397267193444,0.6352974681443205,-0.8387656718662615,-0.3598217850421449,0
-1.1184050118873663,-0.574792947368671,-0.6989686533376998,-0.0706394278047535,0
-2.541001638683842,-0.574792947368671,-0.635917602947486,-0.0024931754354955912,0
0.8953383514618726,-0.574792947368671,1.290635195217562,-1.6799703133240311,0
1.093095364180894,-0.574792947368671,0.9894716830528018,-1.6799703133240311,0
1.2148533145797369,-0.574792947368671,0.37626229448427134,-1.3917945000165255,0
0.6844214874557126,0.030252260387824786,-0.5100718576675197,-0.18904740623438757,0
0.8686751963948579,0.6352974681443205,-0.5306650659232411,-0.6262020406393894,0
0.5031031976047431,-0.574792947368671,-0.5229530460893009,0.05151431326367703,1
0.16646824624735385,-0.574792947368671,-0.2995198420785011,0.22138108875933513,1
0.08178342641516244,-0.574792947368671,-0.2643803553884787,0.2632562046176639,1
1.007254235491106,0.030252260387824786,0.005391571226463309,-0.8011976218566168,0
0.29931724953017314,0.030252260387824786,-0.5210350186496592,0.04805700493227168,1
